,주소,y,x
145,서울특별시 서초구 방배동 동광로 89-5,37.49438697,126.9919899
146,서울특별시 서초구 방배동 방배로 278,37.49734456,126.9881176
147,서울특별시 서초구 방배동 424-28,37.48362314,126.9844467
148,서울특별시 서초구 동작대로 22-2(495-3 가로분식점),37.47840946,126.9819709
149,서울특별시 서초구 방배동 동광로3길 18,37.49146231,126.9848072
150,서울특별시 송파구 백제고분로 481,37.5135645,127.1138615
151,서울특별시 동작구 신대방동 보라매로5가길 16,37.4912751,126.9240947
152,서울특별시 동작구 국사봉16길 28(301-132 빙수골장미공영주차장),37.49342277,126.9335543
153,서울특별시 동작구 사당동 사당로27길 190,37.49095711,126.9715874
154,서울특별시 강남구 삼성동 봉은사로109길 14-8,37.51631693,127.0648655
155,서울특별시 강남구 삼성동 48,37.51398223,127.0498759
156,서울특별시 강남구 삼성동 학동로64길 14 ,37.51676411,127.0446104
157,서울특별시 강남구 삼성동 3-8,37.51718219,127.0443285
158,서울특별시 강남구 삼성동 학동로68길 30,37.51657975,127.0465099
159,서울특별시 강남구 삼성동 삼성로99길 14 ,37.50921211,127.0538239
160,서울특별시 강동구 명일동 260-1,37.54604273,127.1471771
161,서울특별시 송파구 백제고분로32길 25-17(삼전동),37.50024821,127.0958792
162,서울특별시 서초구 반포동 동광로32길 7,37.49371388,126.9972921
163,서울특별시 동작구 상도동 상도로60길 20,37.49318623,126.9532605
164,서울특별시 동작구 상도동 등용로 37,37.50523976,126.9331339
165,서울특별시 동작구 상도동 상도로 346-2 ,37.49475271,126.9482708
166,서울특별시 동작구 상도동 장승배기로 11,37.49950541,126.9431235
167,서울특별시 강남구 일원동 일원로 120,37.48520191,127.0826728
168,서울특별시 서초구 헌릉로 260,37.45571728,127.0688514
169,서울특별시 동작구 여의대방로 54길 18,37.51160872,126.9272264
170,서울특별시 서초구 양재대로2길 109,37.4561155,127.0137834
171,서울특별시 서초구 서초동 1529,37.4862635,127.0089752
172,서울특별시 서초구 서초동 반포대로10길 42,37.48381892,127.0141774
173,서울특별시 서초구 우면동 형촌길 35,37.46410908,127.019107
174,서울특별시 서초구 우면동 태봉로2길 30,37.46115288,127.0256508
175,서울특별시 서초구 우면동 태봉로 18,37.46107304,127.0211311
176,서울특별시 서초구 내곡동 헌릉로8길 58지하,37.45324439,127.0624773
177,서울특별시 서초구 서초동 1542-1,37.49159914,127.0083627
178,서울특별시 서초구 서초동 사임당로17길 90,37.49260442,127.0184123
179,서울특별시 서초구 서초동 서초중앙로24길 57,37.49697279,127.0194178
180,서울특별시 서초구 서초동 서초중앙로2길 41,37.48430494,127.0196977
181,서울특별시 서초구 서초동 1568-1,37.49070341,127.0128098
182,서울특별시 서초구 효령로 72길 60,37.48560466,127.0280788
183,서울특별시 서초구 신원동 청계산로7길 43,37.45114197,127.0576835
184,서울특별시 서초구 우면동 양재대로2길 90,37.45760527,127.0175705
185,서울특별시 강동구 성내동 598,37.53329459,127.1309521
186,서울특별시 강동구 성내동 410-2,37.53052814,127.1335443
187,서울특별시 강동구 성내동 풍성로 128 ,37.52994395,127.1259811
188,서울특별시 강남구 세곡동 508,37.46422962,127.1005025
189,서울특별시 강남구 세곡동 헌릉로590길 11 ,37.46438764,127.104165
190,서울특별시 강남구 세곡동 헌릉로590길 63,37.46104654,127.1015409
191,서울특별시 강남구 세곡동 533지하,37.46677934,127.092967
192,서울특별시 송파구 백제고분로44길 13-25,37.50702452,127.1133413
193,서울특별시 송파구 신천동 29-5 송파구청 앞,37.51461402,127.1060893
194,서울특별시 송파구 장지동 879,37.47935896,127.1401854
195,서울특별시 송파구 송파동 오금로32길 14,37.50525374,127.1178045
196,서울특별시 송파구 가락동 송파대로28길 27,37.49488689,127.1200932
197,서울특별시 송파구 장지동 위례광장로 270 ,37.47710633,127.1436517
198,서울특별시 송파구 장지동 송파대로8길 20,37.47813402,127.1311867
199,서울특별시 송파구 장지동 833,37.48700712,127.1348112
200,서울특별시 송파구 장지동 충민로4길 5,37.47962067,127.1297265
201,서울특별시 송파구 충민로6길 14,37.48069773,127.1314396
202,서울특별시 송파구 마천동 성내천로37길 37,37.49878503,127.1581013
203,서울특별시 송파구 마천동 성내천로47길 38 ,37.49634097,127.158163
204,서울특별시 송파구 풍납동 풍성로26길 31,37.53084983,127.1183046
205,서울특별시 동작구 신대방동 여의대방로10길 100,37.49157807,126.9145347
206,서울특별시 동작구 신대방동 여의대방로 28,37.49527344,126.9116905
207,서울특별시 강동구 둔촌동 명일로 102 ,37.5276464,127.1425472
208,서울특별시 서초구 신반포로 176주차장,37.50393518,127.002413
209,서울특별시 송파구 거여동 28,37.49190319,127.1466139
210,서울특별시 강남구 삼성동 영동대로 640,37.51839825,127.0595493
211,서울특별시 서초구 반포동 신반포로15길 19 ,37.506252,126.9926731
212,서울특별시 강남구 논현동 276-1,37.5095251,127.0389548
213,서울특별시 강동구 암사동 고덕로 53,37.55498106,127.1311421
214,서울특별시 강동구 둔촌동 명일로 110 ,37.52880785,127.1431659
215,서울특별시 강남구 신사동 압구정로42길 78지하2층,37.52404866,127.0336321
216,서울특별시 서초구 양재동 212,37.46500169,127.0361551
217,서울특별시 서초구 우면동 양재대로2길 11,37.45912968,127.0255377
218,서울특별시 강남구 역삼동 도곡로57길 12,37.49669938,127.0512217
219,서울특별시 강남구 역삼동 755-4지하2층,37.49877768,127.0498785
220,서울특별시 강남구 역삼동 757지하,37.4975161,127.0500481
221,서울특별시 서초구 서초동 700,37.4810863,127.0152452
222,서울특별시 강남구 대치동 950,37.50688336,127.0622778
223,서울특별시 서초구 서초동 반포대로26길 20,37.4901998,127.0104492
224,서울특별시 송파구 장지동 380-1,37.47597191,127.1355403
225,서울특별시 송파구 장지동 위례광장로 185,37.48048057,127.139929
226,서울특별시 송파구 장지동 위례광장로 215,37.48171208,127.1448547
227,서울특별시 동작구 동작동 동작대로39길 22,37.49463598,126.981966
228,서울특별시 송파구 신천동 올림픽로 269,37.51442735,127.1006114
229,서울특별시 송파구 잠실동 250-5,37.50476064,127.0877455
230,서울특별시 송파구 방이동 양재대로 1089 ,37.50585103,127.1224827
231,서울특별시 서초구 강남대로109길 73-5잠원동방음언덕형 공영주차장,37.51644755,127.0165876
232,서울특별시 강동구 구천면로 42길 60(천호동),37.54498878,127.1362629
233,서울특별시 강남구 청담동 영동대로142길 16 ,37.52475781,127.056212
234,서울특별시 강남구 청담동 영동대로138길 12,37.52410147,127.0572498
235,서울특별시 강남구 청담동 학동로97길 31,37.52138028,127.0545488
236,서울특별시 강남구 도곡동 언주로30길 57,37.48947513,127.0540058
237,서울특별시 강남구 도곡동 언주로30길 56,37.48806952,127.0534832
238,서울특별시 강남구 도곡동 언주로30길 26,37.48776325,127.0525302
239,서울특별시 서초구 잠원로3길 40지하2층,37.50821285,127.0036587
240,서울특별시 송파구 토성로 64(풍납동),37.52875563,127.1167697
241,서울특별시 송파구 풍납동 올림픽로47길 9 ,37.52741656,127.1180405
242,서울특별시 송파구 풍납동 토성로 38-6,37.52946079,127.1140542
243,서울특별시 강동구 암사동 고덕로19길 30,37.55614952,127.1338319
244,서울특별시 강동구 암사동 올림픽로104길 41,37.55601171,127.1313063
245,서울특별시 송파구 올림픽로35길 137(신천동),37.51592726,127.0996432
246,서울특별시 서초구 서초동 1343-2,37.48761264,127.0261651
247,서울특별시 강남구 율현동 101-13,37.47025525,127.1184614
248,서울특별시 서초구 서초동 1338,37.49089477,127.0294854
249,서울특별시 강남구 역삼동 710,37.50147088,127.0449213
250,서울특별시 서초구 방배동 774-19,37.49425995,126.9889505
251,서울특별시 서초구 방배동 772-13,37.49517631,126.9883664
252,서울특별시 강동구 천호대로 1005,37.53897505,127.124441
253,서울특별시 송파구 송파동 송파대로48길 29,37.51034277,127.1071372
254,서울특별시 강동구 양재대로 1571,37.54571459,127.1422553
255,서울특별시 동작구 흑석동 흑석한강로 2,37.50659905,126.9665166
