주소,y,x,수,코드
서울특별시 성동구 행당동,37.55830591,127.0370317,638,11200107
서울특별시 성동구 응봉동,37.55316049,127.0334168,224,11200108
서울특별시 성동구 금호동1가,37.55488572,127.0227929,209,11200109
서울특별시 성동구 금호동2가,37.55299407,127.0204068,139,11200110
서울특별시 성동구 금호동3가,37.54993071,127.020166,116,11200111
서울특별시 성동구 금호동4가,37.54473258,127.0261619,243,11200112
서울특별시 성동구 옥수동,37.54358864,127.0134383,486,11200113
서울특별시 성동구 성수동1가,37.54172539,127.043351,872,11200114
서울특별시 성동구 성수동2가,37.54096274,127.0570193,485,11200115
서울특별시 성동구 송정동,37.55453226,127.0695691,73,11200118
서울특별시 성동구 용답동,37.56407582,127.0555791,176,11200122
서울특별시 광진구 중곡동,37.56174775,127.0904014,557,11215101
서울특별시 광진구 능동,37.55377926,127.0805369,100,11215102
서울특별시 광진구 구의동,37.55027412,127.0931352,829,11215103
서울특별시 광진구 광장동,37.54685653,127.1030257,650,11215104
서울특별시 광진구 자양동,37.5311078,127.0730183,980,11215105
서울특별시 광진구 노유동,37.5311078,127.0730183,0,11215106
서울특별시 광진구 화양동,37.54647626,127.0713676,110,11215107
서울특별시 광진구 군자동,37.55514464,127.0759028,144,11215109
서울특별시 동대문구 신설동,37.57496296,127.0255386,29,11230101
서울특별시 동대문구 용두동,37.57541865,127.0335988,263,11230102
서울특별시 동대문구 제기동,37.58311546,127.0378184,168,11230103
서울특별시 동대문구 전농동,37.57932861,127.0539783,460,11230104
서울특별시 동대문구 답십리동,37.56906683,127.0566558,613,11230105
서울특별시 동대문구 장안동,37.56969671,127.0714396,705,11230106
서울특별시 동대문구 청량리동,37.58625111,127.0472897,141,11230107
서울특별시 동대문구 회기동,37.5907886,127.0553725,75,11230108
서울특별시 동대문구 휘경동,37.59085536,127.0657305,334,11230109
서울특별시 동대문구 이문동,37.60040551,127.0663731,286,11230110
서울특별시 중랑구 면목동,37.58037158,127.0876616,968,11260101
서울특별시 중랑구 상봉동,37.59676882,127.0887543,397,11260102
서울특별시 중랑구 중화동,37.59946182,127.0773203,245,11260103
서울특별시 중랑구 묵동,37.61238077,127.079182,456,11260104
서울특별시 중랑구 망우동,37.59551304,127.1039624,345,11260105
서울특별시 중랑구 신내동,37.60587478,127.0993653,644,11260106
서울특별시 성북구 성북동,37.59104661,127.0032745,154,11290101
서울특별시 성북구 성북동1가,37.58951491,127.0036141,15,11290102
서울특별시 성북구 돈암동,37.5962792,127.0099103,557,11290103
서울특별시 성북구 동소문동1가,37.59002651,127.0072102,10,11290104
서울특별시 성북구 동소문동2가,37.58870739,127.0082382,2,11290105
서울특별시 성북구 동소문동3가,37.58986048,127.0104892,0,11290106
서울특별시 성북구 동소문동4가,37.59175976,127.0106389,22,11290107
서울특별시 성북구 동소문동5가,37.5916367,127.0153719,9,11290108
서울특별시 성북구 동소문동6가,37.59334155,127.0139953,4,11290109
서울특별시 성북구 동소문동7가,37.59632922,127.0141906,33,11290110
서울특별시 성북구 삼선동1가,37.58468174,127.0083962,25,11290111
서울특별시 성북구 삼선동2가,37.58336964,127.0114393,63,11290112
서울특별시 성북구 삼선동3가,37.58650853,127.0130928,39,11290113
서울특별시 성북구 삼선동4가,37.59035029,127.013723,31,11290114
서울특별시 성북구 삼선동5가,37.58853362,127.0158513,43,11290115
서울특별시 성북구 동선동1가,37.59231024,127.0182118,8,11290116
서울특별시 성북구 동선동2가,37.59016559,127.020041,8,11290117
서울특별시 성북구 동선동3가,37.59449385,127.0205993,12,11290118
서울특별시 성북구 동선동4가,37.59522218,127.0186337,19,11290119
서울특별시 성북구 동선동5가,37.59592883,127.0168448,12,11290120
서울특별시 성북구 안암동1가,37.5883886,127.0213584,50,11290121
서울특별시 성북구 안암동2가,37.5865288,127.0221686,9,11290122
서울특별시 성북구 안암동3가,37.58353368,127.0233134,20,11290123
서울특별시 성북구 안암동4가,37.58070068,127.0246484,5,11290124
서울특별시 성북구 안암동5가,37.58839777,127.0290214,17,11290125
서울특별시 성북구 보문동4가,37.58289615,127.0213478,14,11290126
서울특별시 성북구 보문동5가,37.58238461,127.0200661,4,11290127
서울특별시 성북구 보문동6가,37.5803846,127.0188429,62,11290128
서울특별시 성북구 보문동7가,37.57981813,127.0225515,5,11290129
서울특별시 성북구 보문동1가,37.5864896,127.019646,3,11290130
서울특별시 성북구 보문동2가,37.58574741,127.0182102,9,11290131
서울특별시 성북구 보문동3가,37.58388804,127.016353,40,11290132
서울특별시 성북구 정릉동,37.61858083,126.9954828,895,11290133
서울특별시 성북구 길음동,37.60766583,127.0233436,610,11290134
서울특별시 성북구 종암동,37.59906023,127.0352129,382,11290135
서울특별시 성북구 하월곡동,37.6075035,127.0378126,403,11290136
서울특별시 성북구 상월곡동,37.60691333,127.045527,74,11290137
서울특별시 성북구 장위동,37.61705684,127.0495655,437,11290138
서울특별시 성북구 석관동,37.61298602,127.0614008,280,11290139
서울특별시 강북구 미아동,37.62708313,127.0270608,1030,11305101
서울특별시 강북구 번동,37.62410574,127.0413372,332,11305102
서울특별시 강북구 수유동,37.64246218,127.0220945,664,11305103
서울특별시 강북구 우이동,37.66326973,127.001895,92,11305104
서울특별시 도봉구 쌍문동,37.65131911,127.0291909,523,11320105
서울특별시 도봉구 방학동,37.66589755,127.0268754,611,11320106
서울특별시 도봉구 창동,37.65225821,127.0454323,1148,11320107
서울특별시 도봉구 도봉동,37.68739601,127.0214956,383,11320108
서울특별시 노원구 월계동,37.61991919,127.0629877,722,11350102
서울특별시 노원구 공릉동,37.62484311,127.0738213,799,11350103
서울특별시 노원구 하계동,37.64048853,127.0726856,541,11350104
서울특별시 노원구 상계동,37.66125058,127.0602528,1848,11350105
서울특별시 노원구 중계동,37.65255505,127.0774886,1156,11350106
서울특별시 은평구 수색동,37.58352053,126.8936722,145,11380101
서울특별시 은평구 녹번동,37.60221616,126.92992,457,11380102
서울특별시 은평구 불광동,37.61765233,126.9370595,554,11380103
서울특별시 은평구 갈현동,37.61986528,126.9143672,336,11380104
서울특별시 은평구 구산동,37.61175703,126.9103762,246,11380105
서울특별시 은평구 대조동,37.61418996,126.9208251,152,11380106
서울특별시 은평구 응암동,37.5963273,126.9241097,793,11380107
서울특별시 은평구 역촌동,37.60439766,126.9151233,362,11380108
서울특별시 은평구 신사동,37.59492147,126.9084759,404,11380109
서울특별시 은평구 증산동,37.58430306,126.9070398,139,11380110
서울특별시 은평구 진관동,37.63496688,126.9210659,877,11380114
서울특별시 서대문구 충정로2가,37.5648511,126.9641195,10,11410101
서울특별시 서대문구 충정로3가,37.56207897,126.961984,56,11410102
서울특별시 서대문구 합동,37.56152879,126.9660317,21,11410103
서울특별시 서대문구 미근동,37.56329509,126.9672532,30,11410104
서울특별시 서대문구 냉천동,37.56678216,126.9619635,43,11410105
서울특별시 서대문구 천연동,37.56748014,126.9584044,50,11410106
서울특별시 서대문구 옥천동,37.56955981,126.9589013,2,11410107
